esc,river,year,area,exp
1900,BEALE'S LAGOON CREEK,2002,7,14.00%
12605,KLINAKLINI RIVER,2002,12,0.119591565753775
NA,KILDIDT CREEK,2002,7,14.00%
NA,ALLARD CREEK,2002,9,0.00%
10200,NOOSESECK RIVER,2002,8,25.00%
NA,REAK CREEK,2002,7,14.00%
NA,JENNIS BAY CREEK,2002,12,0.119591565753775
0,TALEOMEY RIVER,2002,8,25.00%
NA,PORT HARVEY LAGOON CREEKS,2002,12,0.119591565753775
10000,KUNSOOT RIVER,2002,7,14.00%
0,KISAMEET RIVER,2002,8,25.00%
7100,MARTIN RIVER,2002,8,25.00%
1400,SKOWQUILTZ RIVER,2002,8,25.00%
NA,BIG CREEK,2002,7,14.00%
12000,MILTON RIVER,2002,9,0.00%
NA,SUTHERLAND RIVER,2002,12,0.119591565753775
0,CAMP CREEK,2002,8,25.00%
NA,THORWALD CREEK,2002,8,25.00%
NA,CORTINA CREEK,2002,12,0.119591565753775
NA,TAKUSH RIVER,2002,10,0.00%
NA,KLEMTU CREEK,2002,7,14.00%
53000,MUSSEL RIVER,2002,7,14.00%
NA,STEWART CREEK,2002,7,14.00%
NA,INZIANA RIVER,2002,9,0.00%
0,WANNOCK RIVER,2002,9,0.00%
NA,BOSWELL CREEK,2002,10,0.00%
NA,SPILLER INLET CREEK,2002,7,14.00%
NA,BULLOCK CHANNEL #3 SOUTH CREEK,2002,7,14.00%
NA,JENNY BAY WEST CREEK,2002,8,25.00%
17000,ADA COVE CREEK,2002,7,14.00%
17600,NICKNAQUEET RIVER,2002,9,0.00%
2600,BOLIN BAY CREEK,2002,7,14.00%
NA,PROTECTION POINT CREEK,2002,12,0.119591565753775
NA,CORDUROY CREEK,2002,10,0.00%
NA,TUNO CREEK,2002,7,14.00%
NA,BRADLEY CREEK,2002,12,0.119591565753775
0,SHIP POINT CREEK,2002,7,14.00%
1300,HOOK NOSE CREEK,2002,8,25.00%
NA,NOOTUM RIVER,2002,8,25.00%
NA,WALDON CREEK,2002,12,0.119591565753775
650,ASHLULM CREEK,2002,9,0.00%
NA,SHOAL CREEK,2002,12,0.119591565753775
NA,EMILY CREEK,2002,7,14.00%
NA,"NASCALL CREEK",2002,8,25.00%
NA,GILFORD CREEK,2002,12,0.119591565753775
NA,"NAKA CREEK",2002,12,0.119591565753775
1500,WORAN CREEK,2002,8,25.00%
8167,AHNUHATI RIVER,2002,12,0.119591565753775
1711,KINGCOME RIVER,2002,12,0.119591565753775
NA,SIMOOM SOUND CREEK,2002,12,0.119591565753775
6900,AMBACK CREEK,2002,9,0.00%
NA,TUNO CREEK WEST,2002,7,14.00%
NA,DEEP BAY CREEK,2002,8,25.00%
NA,HEALTH LAGOON CREEK,2002,12,0.119591565753775
250,GORILLA CREEK,2002,7,14.00%
NA,CALL CREEK,2002,12,0.119591565753775
NA,TOM BAY CREEK,2002,7,14.00%
NA,SHEEMAHANT RIVER,2002,9,0.00%
0,GRANTHAM CREEK,2002,8,25.00%
41152,EMBLEY CREEK,2002,12,0.119591565753775
NA,DE COSMOS LAGOON CREEK,2002,8,25.00%
NA,NOOKLIKONNIK CREEK,2002,8,25.00%
NA,NUSASH CREEK,2002,8,25.00%
NA,FRANKLIN RIVER,2002,12,0.119591565753775
0,MARION CREEK,2002,12,0.119591565753775
NA,CALDER CREEK,2002,7,14.00%
50,MARY COVE CREEK,2002,7,14.00%
NA,SHELTER BAY CREEK,2002,12,0.119591565753775
0,SCOTT COVE CREEK,2002,12,0.119591565753775
NA,CLAYTON FALLS CREEK,2002,8,25.00%
750,WASHWASH RIVER,2002,9,0.00%
0,TSITIKA RIVER,2002,12,0.119591565753775
0,ROBBERS KNOB CREEK,2002,12,0.119591565753775
NA,EVANS INLET #3 CREEK,2002,8,25.00%
NA,CACOOHTIN CREEK,2002,8,25.00%
250,NEWICHY CREEK,2002,9,0.00%
NA,HAND CREEK,2002,12,0.119591565753775
NA,BOUGHEY CREEK,2002,12,0.119591565753775
2200,BULLOCK CHANNEL CREEKS,2002,7,14.00%
5100,KWAKUSDIS RIVER,2002,7,14.00%
NA,THIEMER CREEK,2002,12,0.119591565753775
0,NIMMO CREEK,2002,12,0.119591565753775
NA,FISH CREEK,2002,8,25.00%
NA,ALLARDYCE CREEK,2002,12,0.119591565753775
NA,FANNIE COVE RIGHT HAND CREEK,2002,7,14.00%
NA,BULLEY BAY CREEK,2002,7,14.00%
NA,MCINTOSH CREEK,2002,12,0.119591565753775
0,DOCEE RIVER,2002,10,0.00%
NA,GEORGE HALL CREEK,2002,8,25.00%
NA,COHOE CREEK,2002,12,0.119591565753775
19000,FRENCHMAN CREEK,2002,8,25.00%
NA,JENNY BAY SOUTH CREEK,2002,8,25.00%
NA,THORSEN CREEK,2002,8,25.00%
NA,NUSATSUM RIVER,2002,8,25.00%
NA,RICHMOND BAY CREEK,2002,12,0.119591565753775
NA,ELLEN COVE CREEK,2002,12,0.119591565753775
NA,SALLOOMT RIVER,2002,8,25.00%
NA,JENNY BAY EAST CREEK,2002,8,25.00%
NA,CRACROFT CREEK,2002,12,0.119591565753775
NA,SKEENE RIVER,2002,12,0.119591565753775
0,SOCKEYE CREEK,2002,7,14.00%
NA,NOOHALK CREEK,2002,8,25.00%
NA,COLLINSON CREEK,2002,12,0.119591565753775
NA,FANCY COVE HEAD CREEK,2002,7,14.00%
NA,BLIND CREEK,2002,12,0.119591565753775
NA,NOOSGULCH RIVER,2002,8,25.00%
0,QUATLENA RIVER,2003,8,27.00%
500,LAGOON CREEK,2003,7,10.00%
NA,PHYLLIS LAKE CREEK,2003,12,0.214526467196658
NA,WATSON BAY CREEK,2003,7,10.00%
NA,MATSIU CREEK,2003,12,0.214526467196658
4771,KEOGH RIVER,2003,12,0.214526467196658
200,ATNARKO SPAWNING CHANNEL,2003,8,27.00%
40000,NECLEETSCONNAY RIVER,2003,8,27.00%
NA,MCALISTER CREEK,2003,12,0.214526467196658
2000,CANYON CREEK,2003,7,10.00%
2000,CHAMISS CREEK,2003,7,10.00%
NA,ROBINSON CREEKS,2003,7,10.00%
NA,ELLERSLIE LAGOON CREEK,2003,7,10.00%
NA,ROSCOE CREEK,2003,7,10.00%
NA,HAUSER CREEK,2003,7,10.00%
NA,WINDY BAY CREEK,2003,7,10.00%
NA,KENNETH RIVER,2003,12,0.214526467196658
NA,GRASSY BAY CREEK,2003,8,27.00%
NA,CASCADE RIVER,2003,8,27.00%
NA,COLD CREEK,2003,8,27.00%
NA,COOPER INLET CREEKS,2003,7,10.00%
NA,STEELHEAD CREEK,2003,8,27.00%
NA,YOUNG RIVER,2003,9,0.00%
NA,WAHKASH CREEK,2003,12,0.214526467196658
NA,SANDELL RIVER,2003,9,0.00%
6000,SALMON BAY CREEK,2003,7,10.00%
7000,QUARTCHA CREEK,2003,7,10.00%
NA,WATT CREEK,2003,7,10.00%
NA,POISON COVE CREEK,2003,7,10.00%
NA,GOAT BUSHU CREEK,2003,7,10.00%
NA,"NAMU RIVER",2003,8,27.00%
NA,WINDFALL CREEK,2003,7,10.00%
NA,HOCHSTADER BASIN CREEKS (2),2003,7,10.00%
NA,NEW VANCOUVER CREEK,2003,12,0.214526467196658
NA,FOUR LAKES CREEK,2003,8,27.00%
NA,SAGAR CREEK,2003,8,27.00%
250,KOKISH RIVER,2003,12,0.214526467196658
NA,TSULTON RIVER,2003,12,0.214526467196658
NA,LOCKHART GORDON CREEK,2003,9,0.00%
43,VINER SOUND CREEK,2003,12,0.214526467196658
NA,RETURN CHANNEL CREEKS,2003,7,10.00%
NA,WEBSTER LAKE CREEK,2003,7,10.00%
NA,DORIS CREEK,2003,9,0.00%
40000,DEAN RIVER,2003,8,27.00%
NA,PENO CREEK,2003,7,10.00%
NA,DRANEY CREEK,2003,9,0.00%
2300,GENESEE CREEK,2003,9,0.00%
929,AHTA RIVER,2003,12,0.214526467196658
NA,HOGAN CREEK,2003,9,0.00%
NA,ATNARKO RIVER,2003,8,27.00%
130000,KWATNA RIVER,2003,8,27.00%
17000,CARTER RIVER,2003,7,10.00%
0,AHTA VALLEY CREEK,2003,12,0.214526467196658
16500,NEEKAS CREEK,2003,7,10.00%
43,KWALATE CREEK,2003,12,0.214526467196658
NA,HOEYA SOUND CREEK,2003,12,0.214526467196658
NA,HYCUND CREEK,2003,12,0.214526467196658
NA,NOEICK RIVER,2003,8,27.00%
NA,TSULQUATE RIVER,2003,12,0.214526467196658
NA,SHUSHARTIE RIVER,2003,12,0.214526467196658
3000,BIG BAY CREEK,2003,7,10.00%
1000,LARD CREEK,2003,7,10.00%
500,BEAVER CREEK,2003,9,0.00%
NA,WALKER LAKE CREEK,2003,7,10.00%
NA,CHOKE PASS CREEKS (3),2003,7,10.00%
NA,PERRY CREEK,2003,9,0.00%
NA,CLYAK RIVER,2003,9,0.00%
NA,NIGGER CREEK,2003,12,0.214526467196658
NA,CREASY BAY RIVER,2003,12,0.214526467196658
NA,SALLIE CREEK,2003,12,0.214526467196658
161876,GLENDALE CREEK,2003,12,0.214526467196658
NA,HAUSKIN CREEK,2003,12,0.214526467196658
NA,TUNA RIVER,2003,12,0.214526467196658
NA,FULMORE RIVER,2003,12,0.214526467196658
NA,KITASU CREEK,2003,7,10.00%
NA,QUATSESE RIVER,2003,12,0.214526467196658
5375,ADAM RIVER,2003,12,0.214526467196658
70,NIMPKISH RIVER,2003,12,0.214526467196658
NA,KIMSQUIT RIVER,2003,8,27.00%
NA,ICY RIVER,2003,12,0.214526467196658
NA,GREEN RIVER,2003,8,27.00%
NA,KAMANO BAY CREEK,2003,12,0.214526467196658
NA,TANCRED CREEK,2003,12,0.214526467196658
NA,WALDEN CREEK II,2003,12,0.214526467196658
0,RAINBOW CREEK,2003,7,10.00%
85000,KOEYE RIVER,2003,8,27.00%
NA,NIEL CREEK,2003,9,0.00%
NA,GEISH CREEK,2003,7,10.00%
NA,KILPALA RIVER,2003,12,0.214526467196658
NA,KADJUSDIS RIVER,2003,7,10.00%
NA,BUGHOUSE CREEK,2003,12,0.214526467196658
NA,HIRD POINT CREEK,2003,7,10.00%
NA,BOTTLENECK CREEK,2003,7,10.00%
NA,RESCUE BAY CREEKS,2003,7,10.00%
NA,OATSOALIS CREEK,2003,9,0.00%
0,PINE RIVER,2003,7,10.00%
6000,DALLERY CREEK,2003,9,0.00%
12000,KORICH CREEK,2003,7,10.00%
NA,NEKITE SPAWNING CHANNEL,2003,10,0.00%
NA,SNOOTLI CREEK,2003,8,27.00%
50000,NEKITE RIVER,2003,10,0.00%
NA,CARRIDEN CREEK,2003,12,0.214526467196658
NA,LILIAN CREEK,2003,7,10.00%
2627,WAKEMAN RIVER,2003,12,0.214526467196658
8777,QUATSE RIVER,2003,12,0.214526467196658
0,MILLS CREEK,2003,12,0.214526467196658
NA,EVE RIVER,2003,12,0.214526467196658
0,MACKENZIE RIVER,2003,12,0.214526467196658
NA,MCLOUGHLIN CREEK,2003,7,10.00%
NA,CRAB HARBOUR CREEK,2003,8,27.00%
NA,MACHMELL RIVER,2003,9,0.00%
NA,CANOE CREEK,2003,10,0.00%
NA,SOUND POINT LAGOON CREEK,2003,7,10.00%
4000,MACNAIR CREEK,2003,9,0.00%
35000,JAMES BAY CREEK,2003,7,10.00%
NA,GARBAGE DUMP CREEK,2003,8,27.00%
NA,"NAHWITTI RIVER",2003,12,0.214526467196658
NA,"NAYSASH CREEK",2003,10,0.00%
4700,NIEUMIAMUS CREEK,2003,8,27.00%
NA,STRANDBY RIVER,2003,12,0.214526467196658
NA,ASSEEK RIVER,2003,8,27.00%
15000,ELCHO CREEK,2003,8,27.00%
3920,CLUXEWE RIVER,2003,12,0.214526467196658
NA,DUTHIE CREEK,2003,7,10.00%
4,SKIMLETS CREEK,2003,8,27.00%
NA,TASTSQUAN CREEK,2003,8,27.00%
NA,HAGENSBORG SLOUGH,2003,8,27.00%
NA,TZEO RIVER,2003,9,0.00%
5e+05,CHUCKWALLA RIVER,2003,9,0.00%
NA,SMOKEHOUSE CREEK,2003,10,0.00%
0,NEECHANZ RIVER,2003,9,0.00%
NA,SIM RIVER,2003,12,0.214526467196658
NA,BOND RIVER NO. 1,2003,12,0.214526467196658
NA,BULLOCK CHANNEL #2 CREEK,2003,7,10.00%
NA,MAPLE CREEK,2003,12,0.214526467196658
NA,HYDE CREEK,2003,12,0.214526467196658
NA,THIRD CREEK,2003,8,27.00%
NA,KWAKIUTL CREEK,2003,7,10.00%
NA,WALKER ISLAND CREEK,2003,8,27.00%
NA,WALKUM CREEK,2003,10,0.00%
NA,AIRPORT SIDE CHANNEL,2003,8,27.00%
NA,MARGARET CREEK,2003,10,0.00%
NA,CHIC CHIC CREEK,2003,10,0.00%
1e+05,KILBELLA RIVER,2003,9,0.00%
NA,BULLOCK CHANNEL #3 NORTH CREEK,2003,7,10.00%
16582,KAKWEIKEN RIVER,2003,12,0.214526467196658
NA,FANNIE COVE LEFT HAND CREEK,2003,7,10.00%
NA,SALLY CREEK,2003,7,10.00%
0,SHOAL HARBOUR CREEK,2003,12,0.214526467196658
NA,"NAMELESS CREEK",2003,7,10.00%
93000,KAINET CREEK,2003,7,10.00%
13000,JOHNSTON CREEK,2003,9,0.00%
0,OWIKENO LAKE,2003,9,0.00%
NA,HAGEN CREEK,2003,10,0.00%
NA,LEE CREEK,2003,7,10.00%
7e+05,BELLA COOLA RIVER,2003,8,27.00%
NA,SONGHEES CREEK,2003,12,0.214526467196658
NA,POTTS LAGOON CREEK,2003,12,0.214526467196658
79,LULL CREEK,2003,12,0.214526467196658
NA,DREW CREEK,2003,7,10.00%
NA,DSULISH CREEK,2003,10,0.00%
NA,KILDIDT LAGOON #2 CREEK,2003,7,10.00%
25000,CLATSE CREEK,2003,7,10.00%
NA,CHARLES CREEK,2003,12,0.214526467196658
NA,TANKEEAH RIVER,2003,7,10.00%
NA,BOSS CREEK,2003,10,0.00%
NA,ROBERT ARM CREEK,2003,9,0.00%
NA,SPILLER LAGOON CREEK,2003,7,10.00%
NA,WAHKANA BAY CREEK,2003,12,0.214526467196658
11000,JENNY BAY CREEKS,2003,8,27.00%
0,DEER PASS LAGOON CREEKS,2003,7,10.00%
NA,CUTTER COVE CREEK,2003,12,0.214526467196658
NA,WAHGILAH CREEK,2003,7,10.00%
NA,BEALE'S LAGOON CREEK,2003,7,10.00%
4455,KLINAKLINI RIVER,2003,12,0.214526467196658
NA,KILDIDT CREEK,2003,7,10.00%
NA,ALLARD CREEK,2003,9,0.00%
11000,NOOSESECK RIVER,2003,8,27.00%
NA,REAK CREEK,2003,7,10.00%
NA,JENNIS BAY CREEK,2003,12,0.214526467196658
NA,TALEOMEY RIVER,2003,8,27.00%
NA,PORT HARVEY LAGOON CREEKS,2003,12,0.214526467196658
NA,KUNSOOT RIVER,2003,7,10.00%
NA,KISAMEET RIVER,2003,8,27.00%
5300,MARTIN RIVER,2003,8,27.00%
12000,SKOWQUILTZ RIVER,2003,8,27.00%
NA,BIG CREEK,2003,7,10.00%
6000,MILTON RIVER,2003,9,0.00%
NA,SUTHERLAND RIVER,2003,12,0.214526467196658
0,CAMP CREEK,2003,8,27.00%
NA,THORWALD CREEK,2003,8,27.00%
NA,CORTINA CREEK,2003,12,0.214526467196658
0,TAKUSH RIVER,2003,10,0.00%
NA,KLEMTU CREEK,2003,7,10.00%
1e+05,MUSSEL RIVER,2003,7,10.00%
NA,STEWART CREEK,2003,7,10.00%
0,INZIANA RIVER,2003,9,0.00%
0,WANNOCK RIVER,2003,9,0.00%
NA,BOSWELL CREEK,2003,10,0.00%
NA,SPILLER INLET CREEK,2003,7,10.00%
NA,BULLOCK CHANNEL #3 SOUTH CREEK,2003,7,10.00%
NA,JENNY BAY WEST CREEK,2003,8,27.00%
15500,ADA COVE CREEK,2003,7,10.00%
7500,NICKNAQUEET RIVER,2003,9,0.00%
2500,BOLIN BAY CREEK,2003,7,10.00%
NA,PROTECTION POINT CREEK,2003,12,0.214526467196658
NA,CORDUROY CREEK,2003,10,0.00%
NA,TUNO CREEK,2003,7,10.00%
NA,BRADLEY CREEK,2003,12,0.214526467196658
NA,SHIP POINT CREEK,2003,7,10.00%
NA,HOOK NOSE CREEK,2003,8,27.00%
0,NOOTUM RIVER,2003,8,27.00%
NA,WALDON CREEK,2003,12,0.214526467196658
2500,ASHLULM CREEK,2003,9,0.00%
NA,SHOAL CREEK,2003,12,0.214526467196658
NA,EMILY CREEK,2003,7,10.00%
NA,"NASCALL CREEK",2003,8,27.00%
0,GILFORD CREEK,2003,12,0.214526467196658
NA,"NAKA CREEK",2003,12,0.214526467196658
2000,WORAN CREEK,2003,8,27.00%
4182,AHNUHATI RIVER,2003,12,0.214526467196658
NA,KINGCOME RIVER,2003,12,0.214526467196658
NA,SIMOOM SOUND CREEK,2003,12,0.214526467196658
5000,AMBACK CREEK,2003,9,0.00%
NA,TUNO CREEK WEST,2003,7,10.00%
0,DEEP BAY CREEK,2003,8,27.00%
NA,HEALTH LAGOON CREEK,2003,12,0.214526467196658
NA,GORILLA CREEK,2003,7,10.00%
NA,CALL CREEK,2003,12,0.214526467196658
NA,TOM BAY CREEK,2003,7,10.00%
NA,SHEEMAHANT RIVER,2003,9,0.00%
100,GRANTHAM CREEK,2003,8,27.00%
46,EMBLEY CREEK,2003,12,0.214526467196658
NA,DE COSMOS LAGOON CREEK,2003,8,27.00%
NA,NOOKLIKONNIK CREEK,2003,8,27.00%
NA,NUSASH CREEK,2003,8,27.00%
NA,FRANKLIN RIVER,2003,12,0.214526467196658
NA,MARION CREEK,2003,12,0.214526467196658
NA,CALDER CREEK,2003,7,10.00%
NA,MARY COVE CREEK,2003,7,10.00%
NA,SHELTER BAY CREEK,2003,12,0.214526467196658
0,SCOTT COVE CREEK,2003,12,0.214526467196658
NA,CLAYTON FALLS CREEK,2003,8,27.00%
100,WASHWASH RIVER,2003,9,0.00%
0,TSITIKA RIVER,2003,12,0.214526467196658
NA,ROBBERS KNOB CREEK,2003,12,0.214526467196658
NA,EVANS INLET #3 CREEK,2003,8,27.00%
NA,CACOOHTIN CREEK,2003,8,27.00%
50,NEWICHY CREEK,2003,9,0.00%
NA,HAND CREEK,2003,12,0.214526467196658
NA,BOUGHEY CREEK,2003,12,0.214526467196658
900,BULLOCK CHANNEL CREEKS,2003,7,10.00%
15000,KWAKUSDIS RIVER,2003,7,10.00%
0,THIEMER CREEK,2003,12,0.214526467196658
0,NIMMO CREEK,2003,12,0.214526467196658
NA,FISH CREEK,2003,8,27.00%
NA,ALLARDYCE CREEK,2003,12,0.214526467196658
NA,FANNIE COVE RIGHT HAND CREEK,2003,7,10.00%
NA,BULLEY BAY CREEK,2003,7,10.00%
NA,MCINTOSH CREEK,2003,12,0.214526467196658
0,DOCEE RIVER,2003,10,0.00%
0,GEORGE HALL CREEK,2003,8,27.00%
NA,COHOE CREEK,2003,12,0.214526467196658
13000,FRENCHMAN CREEK,2003,8,27.00%
NA,JENNY BAY SOUTH CREEK,2003,8,27.00%
NA,THORSEN CREEK,2003,8,27.00%
NA,NUSATSUM RIVER,2003,8,27.00%
NA,RICHMOND BAY CREEK,2003,12,0.214526467196658
NA,ELLEN COVE CREEK,2003,12,0.214526467196658
NA,SALLOOMT RIVER,2003,8,27.00%
NA,JENNY BAY EAST CREEK,2003,8,27.00%
NA,CRACROFT CREEK,2003,12,0.214526467196658
NA,SKEENE RIVER,2003,12,0.214526467196658
NA,SOCKEYE CREEK,2003,7,10.00%
NA,NOOHALK CREEK,2003,8,27.00%
NA,COLLINSON CREEK,2003,12,0.214526467196658
NA,FANCY COVE HEAD CREEK,2003,7,10.00%
NA,BLIND CREEK,2003,12,0.214526467196658
NA,NOOSGULCH RIVER,2003,8,27.00%
5000,QUATLENA RIVER,2004,8,22.00%
400,LAGOON CREEK,2004,7,23.00%
NA,PHYLLIS LAKE CREEK,2004,12,0.0648730627549055
NA,WATSON BAY CREEK,2004,7,23.00%
0,MATSIU CREEK,2004,12,0.0648730627549055
84200,KEOGH RIVER,2004,12,0.0648730627549055
500,ATNARKO SPAWNING CHANNEL,2004,8,22.00%
16000,NECLEETSCONNAY RIVER,2004,8,22.00%
NA,MCALISTER CREEK,2004,12,0.0648730627549055
6000,CANYON CREEK,2004,7,23.00%
800,CHAMISS CREEK,2004,7,23.00%
NA,ROBINSON CREEKS,2004,7,23.00%
NA,ELLERSLIE LAGOON CREEK,2004,7,23.00%
NA,ROSCOE CREEK,2004,7,23.00%
NA,HAUSER CREEK,2004,7,23.00%
600,WINDY BAY CREEK,2004,7,23.00%
NA,KENNETH RIVER,2004,12,0.0648730627549055
NA,GRASSY BAY CREEK,2004,8,22.00%
11000,CASCADE RIVER,2004,8,22.00%
NA,COLD CREEK,2004,8,22.00%
NA,COOPER INLET CREEKS,2004,7,23.00%
NA,STEELHEAD CREEK,2004,8,22.00%
0,YOUNG RIVER,2004,9,0.00%
NA,WAHKASH CREEK,2004,12,0.0648730627549055
0,SANDELL RIVER,2004,9,0.00%
14500,SALMON BAY CREEK,2004,7,23.00%
NA,QUARTCHA CREEK,2004,7,23.00%
NA,WATT CREEK,2004,7,23.00%
550,POISON COVE CREEK,2004,7,23.00%
100,GOAT BUSHU CREEK,2004,7,23.00%
NA,"NAMU RIVER",2004,8,22.00%
NA,WINDFALL CREEK,2004,7,23.00%
NA,HOCHSTADER BASIN CREEKS (2),2004,7,23.00%
NA,NEW VANCOUVER CREEK,2004,12,0.0648730627549055
0,FOUR LAKES CREEK,2004,8,22.00%
0,SAGAR CREEK,2004,8,22.00%
60,KOKISH RIVER,2004,12,0.0648730627549055
NA,TSULTON RIVER,2004,12,0.0648730627549055
600,LOCKHART GORDON CREEK,2004,9,0.00%
144,VINER SOUND CREEK,2004,12,0.0648730627549055
NA,RETURN CHANNEL CREEKS,2004,7,23.00%
150,WEBSTER LAKE CREEK,2004,7,23.00%
NA,DORIS CREEK,2004,9,0.00%
NA,DEAN RIVER,2004,8,22.00%
NA,PENO CREEK,2004,7,23.00%
NA,DRANEY CREEK,2004,9,0.00%
NA,GENESEE CREEK,2004,9,0.00%
18650,AHTA RIVER,2004,12,0.0648730627549055
NA,HOGAN CREEK,2004,9,0.00%
NA,ATNARKO RIVER,2004,8,22.00%
42000,KWATNA RIVER,2004,8,22.00%
7200,CARTER RIVER,2004,7,23.00%
NA,AHTA VALLEY CREEK,2004,12,0.0648730627549055
25000,NEEKAS CREEK,2004,7,23.00%
1061,KWALATE CREEK,2004,12,0.0648730627549055
NA,HOEYA SOUND CREEK,2004,12,0.0648730627549055
NA,HYCUND CREEK,2004,12,0.0648730627549055
NA,NOEICK RIVER,2004,8,22.00%
NA,TSULQUATE RIVER,2004,12,0.0648730627549055
NA,SHUSHARTIE RIVER,2004,12,0.0648730627549055
1800,BIG BAY CREEK,2004,7,23.00%
300,LARD CREEK,2004,7,23.00%
0,BEAVER CREEK,2004,9,0.00%
NA,WALKER LAKE CREEK,2004,7,23.00%
NA,CHOKE PASS CREEKS (3),2004,7,23.00%
NA,PERRY CREEK,2004,9,0.00%
16000,CLYAK RIVER,2004,9,0.00%
NA,NIGGER CREEK,2004,12,0.0648730627549055
NA,CREASY BAY RIVER,2004,12,0.0648730627549055
NA,SALLIE CREEK,2004,12,0.0648730627549055
661557,GLENDALE CREEK,2004,12,0.0648730627549055
NA,HAUSKIN CREEK,2004,12,0.0648730627549055
NA,TUNA RIVER,2004,12,0.0648730627549055
0,FULMORE RIVER,2004,12,0.0648730627549055
200,KITASU CREEK,2004,7,23.00%
NA,QUATSESE RIVER,2004,12,0.0648730627549055
158219,ADAM RIVER,2004,12,0.0648730627549055
3500,NIMPKISH RIVER,2004,12,0.0648730627549055
NA,KIMSQUIT RIVER,2004,8,22.00%
NA,ICY RIVER,2004,12,0.0648730627549055
NA,GREEN RIVER,2004,8,22.00%
NA,KAMANO BAY CREEK,2004,12,0.0648730627549055
NA,TANCRED CREEK,2004,12,0.0648730627549055
NA,WALDEN CREEK II,2004,12,0.0648730627549055
0,RAINBOW CREEK,2004,7,23.00%
20000,KOEYE RIVER,2004,8,22.00%
0,NIEL CREEK,2004,9,0.00%
0,GEISH CREEK,2004,7,23.00%
NA,KILPALA RIVER,2004,12,0.0648730627549055
170,KADJUSDIS RIVER,2004,7,23.00%
NA,BUGHOUSE CREEK,2004,12,0.0648730627549055
6000,HIRD POINT CREEK,2004,7,23.00%
500,BOTTLENECK CREEK,2004,7,23.00%
NA,RESCUE BAY CREEKS,2004,7,23.00%
NA,OATSOALIS CREEK,2004,9,0.00%
NA,PINE RIVER,2004,7,23.00%
0,DALLERY CREEK,2004,9,0.00%
8200,KORICH CREEK,2004,7,23.00%
NA,NEKITE SPAWNING CHANNEL,2004,10,NA
300,SNOOTLI CREEK,2004,8,22.00%
NA,NEKITE RIVER,2004,10,NA
NA,CARRIDEN CREEK,2004,12,0.0648730627549055
NA,LILIAN CREEK,2004,7,23.00%
69412,WAKEMAN RIVER,2004,12,0.0648730627549055
28146,QUATSE RIVER,2004,12,0.0648730627549055
1750,MILLS CREEK,2004,12,0.0648730627549055
NA,EVE RIVER,2004,12,0.0648730627549055
NA,MACKENZIE RIVER,2004,12,0.0648730627549055
NA,MCLOUGHLIN CREEK,2004,7,23.00%
NA,CRAB HARBOUR CREEK,2004,8,22.00%
NA,MACHMELL RIVER,2004,9,0.00%
NA,CANOE CREEK,2004,10,NA
NA,SOUND POINT LAGOON CREEK,2004,7,23.00%
NA,MACNAIR CREEK,2004,9,0.00%
40000,JAMES BAY CREEK,2004,7,23.00%
0,GARBAGE DUMP CREEK,2004,8,22.00%
NA,"NAHWITTI RIVER",2004,12,0.0648730627549055
NA,"NAYSASH CREEK",2004,10,NA
0,NIEUMIAMUS CREEK,2004,8,22.00%
NA,STRANDBY RIVER,2004,12,0.0648730627549055
4400,ASSEEK RIVER,2004,8,22.00%
11000,ELCHO CREEK,2004,8,22.00%
5747,CLUXEWE RIVER,2004,12,0.0648730627549055
5700,DUTHIE CREEK,2004,7,23.00%
0,SKIMLETS CREEK,2004,8,22.00%
1850,TASTSQUAN CREEK,2004,8,22.00%
NA,HAGENSBORG SLOUGH,2004,8,22.00%
0,TZEO RIVER,2004,9,0.00%
1e+05,CHUCKWALLA RIVER,2004,9,0.00%
0,SMOKEHOUSE CREEK,2004,10,NA
0,NEECHANZ RIVER,2004,9,0.00%
NA,SIM RIVER,2004,12,0.0648730627549055
NA,BOND RIVER NO. 1,2004,12,0.0648730627549055
600,BULLOCK CHANNEL #2 CREEK,2004,7,23.00%
NA,MAPLE CREEK,2004,12,0.0648730627549055
NA,HYDE CREEK,2004,12,0.0648730627549055
NA,THIRD CREEK,2004,8,22.00%
NA,KWAKIUTL CREEK,2004,7,23.00%
0,WALKER ISLAND CREEK,2004,8,22.00%
0,WALKUM CREEK,2004,10,NA
400,AIRPORT SIDE CHANNEL,2004,8,22.00%
NA,MARGARET CREEK,2004,10,NA
NA,CHIC CHIC CREEK,2004,10,NA
20000,KILBELLA RIVER,2004,9,0.00%
100,BULLOCK CHANNEL #3 NORTH CREEK,2004,7,23.00%
129554,KAKWEIKEN RIVER,2004,12,0.0648730627549055
4300,FANNIE COVE LEFT HAND CREEK,2004,7,23.00%
NA,SALLY CREEK,2004,7,23.00%
81,SHOAL HARBOUR CREEK,2004,12,0.0648730627549055
NA,"NAMELESS CREEK",2004,7,23.00%
60000,KAINET CREEK,2004,7,23.00%
7300,JOHNSTON CREEK,2004,9,0.00%
NA,OWIKENO LAKE,2004,9,0.00%
NA,HAGEN CREEK,2004,10,NA
0,LEE CREEK,2004,7,23.00%
6e+05,BELLA COOLA RIVER,2004,8,22.00%
NA,SONGHEES CREEK,2004,12,0.0648730627549055
NA,POTTS LAGOON CREEK,2004,12,0.0648730627549055
2098,LULL CREEK,2004,12,0.0648730627549055
